ID	ID_incident	date_published	data_source	source_type	alert_type	product_categoty	product	origin_country	origin_country_EU	notified_country	notified_country_EU	hazard_description	hazard_group	summary	food_feed_fcm	date_published_year	date_published_month	date_published_year_month	date_published_quarter	date_published_year_quarter	contaminant	contaminant2	long.origin	lat.origin	long.notified	lat.notified
217834	217834	2020-04-29	RASFF Portal	Official	alert	nuts; nut products and seeds	alfalfa	Netherlands	EU	Denmark	EU	glass fragments	foreign bodies	glass fragments: organic alfalfa seeds	food	2020	04	2020-04	Q2	2020-Q2	glass	glass	5.2814735	52.10080804	10.02799418	55.98126391
217782	217782	2020-04-29	Food Poisoning Bulletin (US)	Others	recall	dietetic foods; food supplements; fortified foods	shape fiber supplement powder fiber supplement powder	United States of America	non_EU	United States of America	non_EU	green particle	foreign bodies	green particle: benefiber healthy shape prebiotic fiber supplement powder and benefiber prebiotic fiber supplement powder	food	2020	04	2020-04	Q2	2020-Q2	other foreign body	other foreign body	-112.46167057	45.67955203	-112.46167057	45.67955203
217797	217797	2020-04-29	RASFF Portal	Official	information for attention	milk and milk products	nut milk chocolate	France	EU	Germany	EU	plastic particles	foreign bodies	plastic particles: nut whole milk chocolate	food	2020	04	2020-04	Q2	2020-Q2	plastic	plastic	2.53618475	46.18700581	10.38577693	51.10697903
217779	217779	2020-03-11	CDPH Recalls (Canada)	Official	recall	prepared dishes and snacks	grain salad	Canada	non_EU	Canada	non_EU	extraneous material	foreign bodies	extraneous material: ancient whole grains salad	food	2020	03	2020-03	Q1	2020-Q1	stones or soil	other foreign body	-98.307757230000007	61.36206827	-98.307757230000007	61.36206827
217764	217764	2020-04-28	FDA Recalls (USA)	Official	recall	dietetic foods; food supplements; fortified foods	fiber supplement	United States of America	non_EU	United States of America	non_EU	plastic pieces	foreign bodies	plastic pieces: prebiotic fiber supplement	food	2020	04	2020-04	Q2	2020-Q2	plastic	plastic	-112.46167057	45.67955203	-112.46167057	45.67955203
217775	217775	2020-04-28	Food Authority (Denmark)	Official	recall	nuts; nut products and seeds	alfalfa	Denmark	EU	Denmark	EU	broken glass	foreign bodies	broken glass: lucerne alfalfa seed	food	2020	04	2020-04	Q2	2020-Q2	glass	glass	10.02799418	55.98126391	10.02799418	55.98126391
217747	217747	2020-04-27	BVL Recalls (Germany)	Official	recall	nuts; nut products and seeds	hazelnut	Germany	EU	Germany	EU	foreign body	foreign bodies	foreign body: yes whole hazelnut premium milk chocolate	food	2020	04	2020-04	Q2	2020-Q2	plastic	plastic	10.38577693	51.10697903	10.38577693	51.10697903
217687	217687	2020-04-22	Food Authority (Norway)	Official	recall	herbs and spices	pepper	United Kingdom	EU	Norway	non_EU	bag	foreign bodies	bag: trs chilli powder	food	2020	04	2020-04	Q2	2020-Q2	other foreign body	other foreign body	-2.86563362	54.12387156	15.34832968	68.75014407
217575	217575	2020-04-17	BVL Recalls (Germany)	Official	recall	prepared dishes and snacks	bakery product	Germany	EU	Germany	EU	foreign body	foreign bodies	foreign body: pizza snails salame 270g	food	2020	04	2020-04	Q2	2020-Q2	plastic	plastic	10.38577693	51.10697903	10.38577693	51.10697903
217592	217592	2020-04-17	RASFF Portal	Official	alert	prepared dishes and snacks	bakery product	Germany	EU	Germany	EU	foreign body	foreign bodies	foreign body: pizza rolls	food	2020	04	2020-04	Q2	2020-Q2	plastic	plastic	10.38577693	51.10697903	10.38577693	51.10697903
217477	217477	2020-04-10	USDA  (US)	Official	recall	poultry meat and poultry meat products	chicken	United States of America	non_EU	United States of America	non_EU	due to possible foreign matter contamination	foreign bodies	due to possible foreign matter contamination: frozen not-ready-to-eat chicken bowl products	food	2020	04	2020-04	Q2	2020-Q2	other foreign body	other foreign body	-112.46167057	45.67955203	-112.46167057	45.67955203
217482	217482	2020-04-09	RASFF Portal	Official	information for follow-up	fruits and vegetables	spinach	Germany	EU	Germany	EU	foreign body	foreign bodies	foreign body: cream spinach	food	2020	04	2020-04	Q2	2020-Q2	plastic	plastic	10.38577693	51.10697903	10.38577693	51.10697903
217458	217458	2020-04-09	Product Recalls Website: Oulah (France)	Others	recall	cereals and bakery products	waffle choco brand cottage waffle	France	EU	France	EU	foreign bodytype  pieces	foreign bodies	foreign bodytype  pieces: waffle craft choco brand cottage waffle.	food	2020	04	2020-04	Q2	2020-Q2	other foreign body	other foreign body	2.53618475	46.18700581	2.53618475	46.18700581
217459	217459	2020-04-09	BVL Recalls (Germany)	Official	recall	fish and fish products	herring	Germany	EU	Germany	EU	foreign body	foreign bodies	foreign body: neubauers original brunswick herring salad	food	2020	04	2020-04	Q2	2020-Q2	other foreign body	other foreign body	10.38577693	51.10697903	10.38577693	51.10697903
217460	217460	2020-04-09	BVL Recalls (Germany)	Official	recall	fruits and vegetables	spinach	Germany	EU	Germany	EU	foreign body	foreign bodies	foreign body: organic frozen cream spinach 400g	food	2020	04	2020-04	Q2	2020-Q2	plastic	plastic	10.38577693	51.10697903	10.38577693	51.10697903
217432	217432	2020-03-26	NVWA Recalls (Netherlands)	Official	recall	soups; broths; sauces and condiments	sauce	Chile	non_EU	Netherlands	EU	glass fragments	foreign bodies	glass fragments: sauces	food	2020	03	2020-03	Q1	2020-Q1	glass	glass	-71.38255879	-37.73069754	5.2814735	52.10080804
217305	217305	2020-03-31	RASFF Portal	Official	information for follow-up	cocoa and cocoa preparations; coffee and tea	chocolate granola bar	Germany	EU	Germany	EU	metal wires	foreign bodies	metal wires: chocolate granola bar	food	2020	03	2020-03	Q1	2020-Q1	metal	metal	10.38577693	51.10697903	10.38577693	51.10697903
217189	217189	2020-03-31	MAST (Iceland)	Official	recall	meat and meat products (other than poultry)	rabbit	Iceland	non_EU	Iceland	non_EU	the object	foreign bodies	the object: rabbits	food	2020	03	2020-03	Q1	2020-Q1	other foreign body	other foreign body	-18.57397086	64.99575263	-18.57397086	64.99575263
217159	217159	2020-03-12	AGES (Austria)	Official	recall	soups; broths; sauces and condiments	premium ajvar glass	Austria	EU	Austria	EU	foreign body	foreign bodies	foreign body: saving premium ajvar glass.	food	2020	03	2020-03	Q1	2020-Q1	glass	glass	14.12647809	47.58549847	14.12647809	47.58549847
217160	217160	2020-03-03	AGES (Austria)	Official	recall	fruits and vegetables	meat product	Austria	EU	Austria	EU	glass particles	foreign bodies	"glass particles: cabbage vegetable ""wiener art"	food	2020	03	2020-03	Q1	2020-Q1	glass	glass	14.12647809	47.58549847	14.12647809	47.58549847
217225	217225	2020-02-26	Product Recalls Website: Oulah (France)	Others	recall	fruits and vegetables	fruit	France	EU	France	EU	foreign body	foreign bodies	foreign body: yogurt with fruit	food	2020	02	2020-02	Q1	2020-Q1	other foreign body	other foreign body	2.53618475	46.18700581	2.53618475	46.18700581
217162	217162	2020-02-11	AGES (Austria)	Official	recall	milk and milk products	cheese	Austria	EU	Austria	EU	a blue plastic foreign body	foreign bodies	a blue plastic foreign body: gouda cheese	food	2020	02	2020-02	Q1	2020-Q1	plastic	plastic	14.12647809	47.58549847	14.12647809	47.58549847
216933	216933	2020-03-26	AFSCA Recalls (Belgium)	Official	recall	fruits and vegetables	pepper	Belgium	EU	Belgium	EU	glass pieces	foreign bodies	glass pieces: pepper	food	2020	03	2020-03	Q1	2020-Q1	glass	glass	4.64064572	50.63981435	4.64064572	50.63981435
216935	216935	2020-03-26	Food Poisoning Bulletin (US)	Others	recall	meat and meat products (other than poultry)	bakery product	Canada	non_EU	United States of America	non_EU	stones	foreign bodies	stones: dang pork spring roll	food	2020	03	2020-03	Q1	2020-Q1	stones or soil	other foreign body	-98.307757230000007	61.36206827	-112.46167057	45.67955203
216949	216949	2020-03-26	RASFF Portal	Official	information for follow-up	fruits and vegetables	bakery product	Denmark	EU	Germany	EU	foreign body	foreign bodies	foreign body: vegetable spring rolls	food	2020	03	2020-03	Q1	2020-Q1	plastic	plastic	10.02799418	55.98126391	10.38577693	51.10697903
216952	216952	2020-03-26	RASFF Portal	Official	alert	herbs and spices	spice glass jar	Netherlands	EU	Netherlands	EU	glass particles	foreign bodies	glass particles: various spices in glass jars	food	2020	03	2020-03	Q1	2020-Q1	glass	glass	5.2814735	52.10080804	5.2814735	52.10080804
216746	216746	2020-03-23	RASFF Portal	Official	alert	fruits and vegetables	bakery product	United States of America	non_EU	United Kingdom	EU	metal fragments	foreign bodies	metal fragments: glutenfree vegetable lasagne	food	2020	03	2020-03	Q1	2020-Q1	metal	metal	-112.46167057	45.67955203	-2.86563362	54.12387156
216676	216676	2020-03-23	Food Safety Authority (Ireland)	Official	recall	prepared dishes and snacks	hash brown pack size	United Kingdom	EU	Ireland	EU	white plastic	foreign bodies	white plastic: co op frozen hash browns; pack size: 700g.	food	2020	03	2020-03	Q1	2020-Q1	plastic	plastic	-2.86563362	54.12387156	-8.13793167	53.1754426
216683	216683	2020-03-23	RASFF Portal	Official	alert	prepared dishes and snacks	hash brown	United Kingdom	EU	United Kingdom	EU	plastic fragments	foreign bodies	plastic fragments: frozen hash brown	food	2020	03	2020-03	Q1	2020-Q1	plastic	plastic	-2.86563362	54.12387156	-2.86563362	54.12387156
216601	216601	2020-03-20	BVL Recalls (Germany)	Official	recall	meat and meat products (other than poultry)	offals	Germany	EU	Germany	EU	glass foreign body	foreign bodies	"glass foreign body: oederaner country-liver sausage"" in the glass"	food	2020	03	2020-03	Q1	2020-Q1	glass	glass	10.38577693	51.10697903	10.38577693	51.10697903
216602	216602	2020-03-20	Il Fatto Alimentare (Italy)	Others	lookout	fish and fish products	fillet	Italy	EU	Italy	EU	foreign body	foreign bodies	foreign body: fillets	food	2020	03	2020-03	Q1	2020-Q1	other foreign body	other foreign body	12.07000946	42.79663568	12.07000946	42.79663568
216642	216642	2020-03-20	FSA Alerts & Recalls (UK)	Official	recall	prepared dishes and snacks	frozen hash browns	United Kingdom	EU	United Kingdom	EU	plastic	foreign bodies	plastic: coop frozen hash browns	food	2020	03	2020-03	Q1	2020-Q1	plastic	plastic	-2.86563362	54.12387156	-2.86563362	54.12387156
216562	216562	2020-03-19	RASFF Portal	Official	information for attention	non-alcoholic beverages	drink	United Kingdom	EU	United Kingdom	EU	glass fragments	foreign bodies	glass fragments: nonalcoholic drinks	food	2020	03	2020-03	Q1	2020-Q1	glass	glass	-2.86563362	54.12387156	-2.86563362	54.12387156
216571	216571	2020-02-07	Food Authority (Finland)	Official	information for attention	fruits and vegetables	cucumber	Finland	EU	Finland	EU	glass	foreign bodies	glass: cucumbers	food	2020	02	2020-02	Q1	2020-Q1	glass	glass	26.27467024	64.49884844	26.27467024	64.49884844
216532	216532	2020-03-18	RASFF Portal	Official	alert	fish and fish products	tuna	Spain	EU	France	EU	metal strips	foreign bodies	metal strips: canned tuna	food	2020	03	2020-03	Q1	2020-Q1	metal	metal	-3.64754874	40.24448626	2.53618475	46.18700581
216524	216524	2020-03-18	Food Poisoning Bulletin (US)	Others	recall	fruits and vegetables	corn	Canada	non_EU	United States of America	non_EU	foreign material metal pieces	foreign bodies	foreign material metal pieces: foods corn starch	food	2020	03	2020-03	Q1	2020-Q1	metal	metal	-98.307757230000007	61.36206827	-112.46167057	45.67955203
215850	215850	2020-03-17	RASFF Portal	Official	alert	fruits and vegetables	pickle	United Kingdom	EU	United Kingdom	EU	plastic fragments	foreign bodies	plastic fragments: branston pickle products	food	2020	03	2020-03	Q1	2020-Q1	plastic	plastic	-2.86563362	54.12387156	-2.86563362	54.12387156
215799	215799	2020-03-11	CDPH Recalls (Canada)	Official	recall	fruits and vegetables	corn	Canada	non_EU	Canada	non_EU	extraneous material	foreign bodies	extraneous material: puredent b700 corn starch	food	2020	03	2020-03	Q1	2020-Q1	metal	metal	-98.307757230000007	61.36206827	-98.307757230000007	61.36206827
215836	215836	2020-03-11	CDPH Recalls (Canada)	Official	recall	fruits and vegetables	corn	Canada	non_EU	Canada	non_EU	extraneous material	foreign bodies	extraneous material: corn (starch)	food	2020	03	2020-03	Q1	2020-Q1	metal	metal	-98.307757230000007	61.36206827	-98.307757230000007	61.36206827
215739	215739	2020-03-13	CDPH Recalls (Canada)	Official	recall	prepared dishes and snacks	grain salad	Canada	non_EU	Canada	non_EU	extraneous material	foreign bodies	extraneous material: ancient whole grains salad	food	2020	03	2020-03	Q1	2020-Q1	stones or soil	other foreign body	-98.307757230000007	61.36206827	-98.307757230000007	61.36206827
215756	215756	2020-03-13	RASFF Portal	Official	alert	fruits and vegetables	mushroom	Belgium	EU	Belgium	EU	plastic fragments	foreign bodies	plastic fragments: chilled marinated mushrooms spread	food	2020	03	2020-03	Q1	2020-Q1	plastic	plastic	4.64064572	50.63981435	4.64064572	50.63981435
215785	215785	2020-03-12	Trading Standards (UK)	Official	recall	fruits and vegetables	pickle	United Kingdom	EU	United Kingdom	EU	plastic	foreign bodies	plastic: branston pickle products	food	2020	03	2020-03	Q1	2020-Q1	plastic	plastic	-2.86563362	54.12387156	-2.86563362	54.12387156
215675	15675	2020-03-11	FSA Alerts & Recalls (UK)	Official	recall	fruits and vegetables	pickle	United Kingdom	EU	United Kingdom	EU	plastic	foreign bodies	plastic: branston original pickle	food	2020	03	2020-03	Q1	2020-Q1	plastic	plastic	-2.86563362	54.12387156	-2.86563362	54.12387156
215676	15675	2020-03-11	FSA Alerts & Recalls (UK)	Official	recall	fruits and vegetables	pickle	United Kingdom	EU	United Kingdom	EU	plastic	foreign bodies	plastic: branston original sweet pickle	food	2020	03	2020-03	Q1	2020-Q1	plastic	plastic	-2.86563362	54.12387156	-2.86563362	54.12387156
215677	15675	2020-03-11	FSA Alerts & Recalls (UK)	Official	recall	fruits and vegetables	pickle	United Kingdom	EU	United Kingdom	EU	plastic	foreign bodies	plastic: branston squeezy smooth pickle	food	2020	03	2020-03	Q1	2020-Q1	plastic	plastic	-2.86563362	54.12387156	-2.86563362	54.12387156
215678	15675	2020-03-11	FSA Alerts & Recalls (UK)	Official	recall	fruits and vegetables	pickle	United Kingdom	EU	United Kingdom	EU	plastic	foreign bodies	plastic: branston smooth pickle	food	2020	03	2020-03	Q1	2020-Q1	plastic	plastic	-2.86563362	54.12387156	-2.86563362	54.12387156
215719	15719	2020-03-06	CDPH Recalls (Canada)	Official	recall	milk and milk products	milk	Canada	non_EU	Canada	non_EU	extraneous material	foreign bodies	extraneous material: fresh partly skimmed milk; 2% m.f.	food	2020	03	2020-03	Q1	2020-Q1	metal	metal	-98.307757230000007	61.36206827	-98.307757230000007	61.36206827
215720	15719	2020-03-06	CDPH Recalls (Canada)	Official	recall	milk and milk products	milk	Canada	non_EU	Canada	non_EU	extraneous material	foreign bodies	extraneous material: fresh partly skimmed milk; 1% m.f.	food	2020	03	2020-03	Q1	2020-Q1	metal	metal	-98.307757230000007	61.36206827	-98.307757230000007	61.36206827
215623	215623	2020-03-09	RASFF Portal	Official	alert	cereals and bakery products	bakery product	Germany	EU	Germany	EU	foreign body	foreign bodies	foreign body: gluten free bread	food	2020	03	2020-03	Q1	2020-Q1	other foreign body	other foreign body	10.38577693	51.10697903	10.38577693	51.10697903
215630	215630	2020-03-07	NVWA Recalls (Netherlands)	Official	recall	cereals and bakery products	wheat	Netherlands	EU	Netherlands	EU	the bag	foreign bodies	the bag: wheat	food	2020	03	2020-03	Q1	2020-Q1	other foreign body	other foreign body	5.2814735	52.10080804	5.2814735	52.10080804
215593	15593	2020-03-06	CDPH Recalls (Canada)	Official	recall	milk and milk products	milk	Canada	non_EU	Canada	non_EU	extraneous material	foreign bodies	extraneous material: partly skimmed milk; 1% m.f.; microfiltered	food	2020	03	2020-03	Q1	2020-Q1	metal	metal	-98.307757230000007	61.36206827	-98.307757230000007	61.36206827
215594	15593	2020-03-06	CDPH Recalls (Canada)	Official	recall	milk and milk products	milk	Canada	non_EU	Canada	non_EU	extraneous material	foreign bodies	extraneous material: partly skimmed organic milk; 2% m.f.	food	2020	03	2020-03	Q1	2020-Q1	metal	metal	-98.307757230000007	61.36206827	-98.307757230000007	61.36206827
215595	15593	2020-03-06	CDPH Recalls (Canada)	Official	recall	milk and milk products	milk	Canada	non_EU	Canada	non_EU	extraneous material	foreign bodies	extraneous material: partly skimmed milk; 2% m.f.; microfiltered	food	2020	03	2020-03	Q1	2020-Q1	metal	metal	-98.307757230000007	61.36206827	-98.307757230000007	61.36206827
215601	215601	2020-03-03	CDPH Recalls (Canada)	Official	recall	fruits and vegetables	cherry	Canada	non_EU	Canada	non_EU	extraneous material	foreign bodies	extraneous material: sour cherry jam with pectin	food	2020	03	2020-03	Q1	2020-Q1	other foreign body	other foreign body	-98.307757230000007	61.36206827	-98.307757230000007	61.36206827
215494	215494	2020-03-06	BVL Recalls (Germany)	Official	recall	cereals and bakery products	rice	Germany	EU	Germany	EU	metal fragments	foreign bodies	metal fragments: uncle ben's original long grain rice in cooking bags (10 min; 1 kg)	food	2020	03	2020-03	Q1	2020-Q1	metal	metal	10.38577693	51.10697903	10.38577693	51.10697903
215506	215506	2020-03-06	RASFF Portal	Official	alert	cereals and bakery products	rice	Belgium	EU	Belgium	EU	metal particles	foreign bodies	metal particles: long grain rice	food	2020	03	2020-03	Q1	2020-Q1	metal	metal	4.64064572	50.63981435	4.64064572	50.63981435
215456	215456	2020-03-05	Il Fatto Alimentare (Italy)	Others	recall	fruits and vegetables	tomato	Italy	EU	Italy	EU	possible presence of glass	foreign bodies	possible presence of glass: ready tomatoes tomatoes	food	2020	03	2020-03	Q1	2020-Q1	glass	glass	12.07000946	42.79663568	12.07000946	42.79663568
215417	215417	2020-03-04	RASFF Portal	Official	information for attention	poultry meat and poultry meat products	bakery product	United Kingdom	EU	United Kingdom	EU	metal pieces	foreign bodies	metal pieces: chicken sandwich	food	2020	03	2020-03	Q1	2020-Q1	metal	metal	-2.86563362	54.12387156	-2.86563362	54.12387156
215373	215373	2020-03-03	RASFF Portal	Official	alert	fruits and vegetables	cabbage	Belgium	EU	Germany	EU	glass fragments	foreign bodies	glass fragments: frozen sliced savoy cabbage	food	2020	03	2020-03	Q1	2020-Q1	plastic	plastic	4.64064572	50.63981435	10.38577693	51.10697903
215326	215326	2020-02-28	RASFF Portal	Official	information for follow-up	meat and meat products (other than poultry)	pork	Austria	EU	Germany	EU	metal wires	foreign bodies	metal wires: salami	food	2020	02	2020-02	Q1	2020-Q1	metal	metal	14.12647809	47.58549847	10.38577693	51.10697903
215267	215267	2020-02-28	RASFF Portal	Official	alert	pet food	cat	Hungary	EU	Slovakia	EU	bone fragments	foreign bodies	bone fragments: salami for cats	feed	2020	02	2020-02	Q1	2020-Q1	bone	other foreign body	19.39559381	47.16277712	19.47905212	48.70547175
215274	215274	2020-02-27	RASFF Portal	Official	alert	herbs and spices	powder	Belgium	EU	Belgium	EU	plastic fragments	foreign bodies	plastic fragments: oligofructose powder	food	2020	02	2020-02	Q1	2020-Q1	plastic	plastic	4.64064572	50.63981435	4.64064572	50.63981435
215203	215203	2020-02-27	Il Fatto Alimentare (Italy)	Others	recall	crustaceans and products thereof	shrimp	Italy	EU	Italy	EU	fragments	foreign bodies	fragments: steamed shrimp	food	2020	02	2020-02	Q1	2020-Q1	plastic	plastic	12.07000946	42.79663568	12.07000946	42.79663568
215191	15191	2020-02-13	CDPH Recalls (Canada)	Official	recall	meat and meat products (other than poultry)	beef	Canada	non_EU	Canada	non_EU	extraneous material	foreign bodies	extraneous material: beef chuck burgers 72 g	food	2020	02	2020-02	Q1	2020-Q1	plastic	plastic	-98.307757230000007	61.36206827	-98.307757230000007	61.36206827
215192	15191	2020-02-13	CDPH Recalls (Canada)	Official	recall	meat and meat products (other than poultry)	beef	Canada	non_EU	Canada	non_EU	extraneous material	foreign bodies	extraneous material: beef chuck patties 6 oz	food	2020	02	2020-02	Q1	2020-Q1	plastic	plastic	-98.307757230000007	61.36206827	-98.307757230000007	61.36206827
215193	15191	2020-02-13	CDPH Recalls (Canada)	Official	recall	meat and meat products (other than poultry)	beef	Canada	non_EU	Canada	non_EU	extraneous material	foreign bodies	extraneous material: beef chuck patties 7 oz	food	2020	02	2020-02	Q1	2020-Q1	plastic	plastic	-98.307757230000007	61.36206827	-98.307757230000007	61.36206827
215194	15191	2020-02-13	CDPH Recalls (Canada)	Official	recall	meat and meat products (other than poultry)	beef	Canada	non_EU	Canada	non_EU	extraneous material	foreign bodies	extraneous material: beef chuck patties 8 oz	food	2020	02	2020-02	Q1	2020-Q1	plastic	plastic	-98.307757230000007	61.36206827	-98.307757230000007	61.36206827
215195	15191	2020-02-13	CDPH Recalls (Canada)	Official	recall	meat and meat products (other than poultry)	beef	Canada	non_EU	Canada	non_EU	extraneous material	foreign bodies	extraneous material: beef brisket patties 8 oz	food	2020	02	2020-02	Q1	2020-Q1	plastic	plastic	-98.307757230000007	61.36206827	-98.307757230000007	61.36206827
215196	15191	2020-02-13	CDPH Recalls (Canada)	Official	recall	meat and meat products (other than poultry)	beef	Canada	non_EU	Canada	non_EU	extraneous material	foreign bodies	extraneous material: lean ground beef pure chuck	food	2020	02	2020-02	Q1	2020-Q1	plastic	plastic	-98.307757230000007	61.36206827	-98.307757230000007	61.36206827
215179	215179	2020-02-26	RASFF Portal	Official	information for attention	poultry meat and poultry meat products	chicken	Hungary	EU	France	EU	foreign body	foreign bodies	foreign body: frozen prefried vietnamese chicken nem	food	2020	02	2020-02	Q1	2020-Q1	stones or soil	other foreign body	19.39559381	47.16277712	2.53618475	46.18700581
215148	215148	2020-02-26	Il Fatto Alimentare (Italy)	Others	recall	cocoa and cocoa preparations; coffee and tea	tea	Italy	EU	Italy	EU	the particles	foreign bodies	the particles: tea leoni	food	2020	02	2020-02	Q1	2020-Q1	plastic	plastic	12.07000946	42.79663568	12.07000946	42.79663568
215156	215156	2020-02-26	Food Security Agency (Luxembourg)	Official	recall	fruits and vegetables	fruit	Luxembourg	EU	Luxembourg	EU	body	foreign bodies	body: yaourt aux fruits	food	2020	02	2020-02	Q1	2020-Q1	plastic	plastic	6.07182681	49.76724687	6.07182681	49.76724687
215055	215055	2020-02-25	AFSCA Recalls (Belgium)	Official	recall	crustaceans and products thereof	shrimp	Belgium	EU	Belgium	EU	plastic	foreign bodies	plastic: shrimp	food	2020	02	2020-02	Q1	2020-Q1	plastic	plastic	4.64064572	50.63981435	4.64064572	50.63981435
215081	215081	2020-02-25	Il Fatto Alimentare (Italy)	Others	lookout	pet food	dog	Italy	EU	Italy	EU	glass particles	foreign bodies	glass particles: dogs	feed	2020	02	2020-02	Q1	2020-Q1	glass	glass	12.07000946	42.79663568	12.07000946	42.79663568
215048	215048	2020-02-24	RASFF Portal	Official	information for attention	meat and meat products (other than poultry)	beef	Czech Republic	EU	Czech Republic	EU	metal wires	foreign bodies	metal wires: chilled beef meal stroganoff	food	2020	02	2020-02	Q1	2020-Q1	metal	metal	15.31240065	49.73341073	15.31240065	49.73341073
215028	215028	2020-02-07	CDPH Recalls (Canada)	Official	recall	meat and meat products (other than poultry)	lamb	Canada	non_EU	Canada	non_EU	extraneous material	foreign bodies	extraneous material: ground lamb	food	2020	02	2020-02	Q1	2020-Q1	plastic	plastic	-98.307757230000007	61.36206827	-98.307757230000007	61.36206827
214004	214004	2020-02-07	Food Security Agency (Luxembourg)	Official	recall	meat and meat products (other than poultry)	pork	Luxembourg	EU	Luxembourg	EU	possible fragments mtalliques	foreign bodies	possible fragments mtalliques: sandwich poulet csar et bacon	food	2020	02	2020-02	Q1	2020-Q1	other foreign body	other foreign body	6.07182681	49.76724687	6.07182681	49.76724687
214992	214992	2020-02-22	BVL Recalls (Germany)	Official	recall	fruits and vegetables	onion	Germany	EU	Germany	EU	foreign body	foreign bodies	foreign body: dwarf meadow onion melt 250g	food	2020	02	2020-02	Q1	2020-Q1	glass	glass	10.38577693	51.10697903	10.38577693	51.10697903
214974	214974	2020-02-21	RASFF Portal	Official	information for attention	milk and milk products	bakery product	Germany	EU	Germany	EU	plastic fragments	foreign bodies	plastic fragments: frozen cocoa curd cheesecake	food	2020	02	2020-02	Q1	2020-Q1	plastic	plastic	10.38577693	51.10697903	10.38577693	51.10697903
214950	214950	2020-02-20	RASFF Portal	Official	alert	pet food	parrot	Hungary	EU	Romania	EU	impurities	foreign bodies	impurities: feed for parrots	feed	2020	02	2020-02	Q1	2020-Q1	other foreign body	other foreign body	19.39559381	47.16277712	24.97293286	45.85242939
214956	214956	2020-02-19	RASFF Portal	Official	alert	milk and milk products	cheese	Germany	EU	Germany	EU	plastic fragments	foreign bodies	plastic fragments: organic grated cheese	food	2020	02	2020-02	Q1	2020-Q1	plastic	plastic	10.38577693	51.10697903	10.38577693	51.10697903
