ID	ID_incident	date_published	data_source	source_type	alert_type	raw_text_product	product_categoty	product	origin_country	origin_country_EU	notified_country	notified_country_EU	hazard_description	hazard_group	summary	food_feed_fcm	date_published_year	date_published_month	date_published_year_month	date_published_quarter	date_published_year_quarter	long.origin	lat.origin	long.notified	lat.notified	long.origin.rand	lat.origin.rand	long.notified.rand	lat.notified.rand	contaminant	contaminant2
217775	217775	2020-04-28	Food Authority (Denmark)	Official	recall	Broken glass in the lucerne (alfalfa) seed	nuts; nut products and seeds	alfalfa	Denmark	EU	Denmark	EU	broken glass	foreign bodies	broken glass: lucerne alfalfa seed	food	2020	04	2020-04	Q2	2020-Q2	10.02799418	55.98126391	10.02799418	55.98126391	10.2233742810928	54.93138618761069	9.673873327223351	55.64577666363871	glass	glass
217747	217747	2020-04-27	BVL Recalls (Germany)	Official	recall	Warning for the product yes! whole hazelnut premium milk chocolate for foreign body (black plastic parts)	nuts; nut products and seeds	hazelnut	Germany	EU	Germany	EU	foreign body	foreign bodies	foreign body: yes whole hazelnut premium milk chocolate	food	2020	04	2020-04	Q2	2020-Q2	10.38577693	51.10697903	10.38577693	51.10697903	6.954394382315627	53.67406307460648	10.68949426024625	51.50167197350754	plastic	plastic
217687	217687	2020-04-22	Food Authority (Norway)	Official	recall	Party with the TRS Chilli powder from the Noramix Import pulled from the market	herbs and spices	pepper	United Kingdom	EU	Norway	non_EU	bag	foreign bodies	bag: trs chilli powder	food	2020	04	2020-04	Q2	2020-Q2	-2.86563362	54.12387156	15.34832968	68.75014407	-2.9283779747329852	58.944806629107745	25.41638679152628	69.51033689704352	other foreign body	other foreign body
217575	217575	2020-04-17	BVL Recalls (Germany)	Official	recall	Warning for the product pizza snails salame 270g for foreign body (white plastic)	prepared dishes and snacks	bakery product	Germany	EU	Germany	EU	foreign body	foreign bodies	foreign body: pizza snails salame 270g	food	2020	04	2020-04	Q2	2020-Q2	10.38577693	51.10697903	10.38577693	51.10697903	13.309172430212275	52.37563703023493	7.9802965857325905	51.298165486274904	plastic	plastic
217592	217592	2020-04-17	RASFF Portal	Official	alert	foreign body (plastic particles) in pizza rolls from Germany	prepared dishes and snacks	bakery product	Germany	EU	Germany	EU	foreign body	foreign bodies	foreign body: pizza rolls	food	2020	04	2020-04	Q2	2020-Q2	10.38577693	51.10697903	10.38577693	51.10697903	12.58061577368961	47.75213834545231	9.788071510135262	54.086890664800684	plastic	plastic
217477	217477	2020-04-10	USDA  (US)	Official	recall	Conagra Brands; Inc. Recalls Frozen Not-Ready-to-Eat Chicken Bowl Products Due to Possible Foreign Matter Contamination	poultry meat and poultry meat products	chicken	United States of America	non_EU	United States of America	non_EU	due to possible foreign matter contamination	foreign bodies	due to possible foreign matter contamination: frozen not-ready-to-eat chicken bowl products	food	2020	04	2020-04	Q2	2020-Q2	-112.46167057	45.67955203	-112.46167057	45.67955203	-108.13508676118363	45.87514892087399	-117.11034707578726	38.58793644802332	other foreign body	other foreign body
217482	217482	2020-04-09	RASFF Portal	Official	information for follow-up	foreign body (round plastic particles) in cream spinach from Germany	fruits and vegetables	spinach	Germany	EU	Germany	EU	foreign body	foreign bodies	foreign body: cream spinach	food	2020	04	2020-04	Q2	2020-Q2	10.38577693	51.10697903	10.38577693	51.10697903	11.744321252824431	48.97864973994615	8.64005483974351	47.94389646108621	plastic	plastic
217458	217458	2020-04-09	Product Recalls Website: Oulah (France)	Others	recall	Recall product : Waffle craft choco 200g brand Cottage Waffle	cereals and bakery products	waffle choco brand cottage waffle	France	EU	France	EU	foreign bodytype  pieces	foreign bodies	foreign bodytype  pieces: waffle craft choco brand cottage waffle.	food	2020	04	2020-04	Q2	2020-Q2	2.53618475	46.18700581	2.53618475	46.18700581	-3.6562817519684394	47.637105031944714	1.5213686437825436	44.643198569184484	other foreign body	other foreign body
217459	217459	2020-04-09	BVL Recalls (Germany)	Official	recall	Warning for the product neubauer's original brunswick herring salad for health risk due to foreign body	fish and fish products	herring	Germany	EU	Germany	EU	foreign body	foreign bodies	foreign body: neubauers original brunswick herring salad	food	2020	04	2020-04	Q2	2020-Q2	10.38577693	51.10697903	10.38577693	51.10697903	9.440611057720805	49.954793956755815	7.588995879361246	52.63713397527951	other foreign body	other foreign body
217460	217460	2020-04-09	BVL Recalls (Germany)	Official	recall	Warning for the product organic frozen cream spinach 400g for foreign body (plastic particles)	fruits and vegetables	spinach	Germany	EU	Germany	EU	foreign body	foreign bodies	foreign body: organic frozen cream spinach 400g	food	2020	04	2020-04	Q2	2020-Q2	10.38577693	51.10697903	10.38577693	51.10697903	10.771037813556951	48.530897142914256	11.370017529596335	53.515380664365246	plastic	plastic
217432	217432	2020-03-26	NVWA Recalls (Netherlands)	Official	recall	"
Important safety warnings miscellaneous kruidenstrooiers Verstegen"	soups; broths; sauces and condiments	sauce	Chile	non_EU	Netherlands	EU	glass fragments	foreign bodies	glass fragments: sauces	food	2020	03	2020-03	Q1	2020-Q1	-71.38255879	-37.73069754	5.2814735	52.10080804	-73.51884932681435	-53.50964012149052	6.139957298133787	52.98837665979023	glass	glass
217305	217305	2020-03-31	RASFF Portal	Official	information for follow-up	metal wires (1.6 cm) in chocolate granola bar from Germany	cocoa and cocoa preparations; coffee and tea	chocolate granola bar	Germany	EU	Germany	EU	metal wires	foreign bodies	metal wires: chocolate granola bar	food	2020	03	2020-03	Q1	2020-Q1	10.38577693	51.10697903	10.38577693	51.10697903	8.149470073198966	53.11003060204598	6.337122324811473	50.48289165100606	metal	metal
217189	217189	2020-03-31	MAST (Iceland)	Official	recall	The diagnosis of infectious lifrardrepi in rabbits confirmed	meat and meat products (other than poultry)	rabbit	Iceland	non_EU	Iceland	non_EU	the object	foreign bodies	the object: rabbits	food	2020	03	2020-03	Q1	2020-Q1	-18.57397086	64.99575263	-18.57397086	64.99575263	-22.287699079417397	64.74148082096028	-19.7640688171873	64.36462625911005	other foreign body	other foreign body
217159	217159	2020-03-12	AGES (Austria)	Official	recall	SAVING PREMIUM Ajvar 330g glass	soups; broths; sauces and condiments	premium ajvar glass	Austria	EU	Austria	EU	foreign body	foreign bodies	foreign body: saving premium ajvar glass.	food	2020	03	2020-03	Q1	2020-Q1	14.12647809	47.58549847	14.12647809	47.58549847	17.095053330770764	48.11693230129507	11.37161582672657	47.41541104973957	glass	glass
217160	217160	2020-03-03	AGES (Austria)	Official	recall	"Chef's menu side dishes ""Cabbage"" Wiener Art ""400g"""	fruits and vegetables	meat product	Austria	EU	Austria	EU	glass particles	foreign bodies	"glass particles: cabbage vegetable ""wiener art"	food	2020	03	2020-03	Q1	2020-Q1	14.12647809	47.58549847	14.12647809	47.58549847	13.479800606929437	46.81613661405464	16.83795165978964	48.564092892388985	glass	glass
217225	217225	2020-02-26	Product Recalls Website: Oulah (France)	Others	recall	Recall product : Yogurt with fruit brand AUCHAN	fruits and vegetables	fruit	France	EU	France	EU	foreign body	foreign bodies	foreign body: yogurt with fruit	food	2020	02	2020-02	Q1	2020-Q1	2.53618475	46.18700581	2.53618475	46.18700581	4.2174713514008975	45.701885593612026	2.7048770742165686	45.78206264039453	other foreign body	other foreign body
217162	217162	2020-02-11	AGES (Austria)	Official	recall	Milbona Gouda cheese; young; grated; at least 7 weeks aged; 250g	milk and milk products	cheese	Austria	EU	Austria	EU	a blue plastic foreign body	foreign bodies	a blue plastic foreign body: gouda cheese	food	2020	02	2020-02	Q1	2020-Q1	14.12647809	47.58549847	14.12647809	47.58549847	13.247679782983857	47.2500719391775	15.861789354548467	47.77699413310088	plastic	plastic
216933	216933	2020-03-26	AFSCA Recalls (Belgium)	Official	recall	possible presence of glass pieces	fruits and vegetables	pepper	Belgium	EU	Belgium	EU	glass pieces	foreign bodies	glass pieces: pepper	food	2020	03	2020-03	Q1	2020-Q1	4.64064572	50.63981435	4.64064572	50.63981435	5.91658624714135	50.33637498020657	5.499235847152157	50.24968571933523	glass	glass
216935	216935	2020-03-26	Food Poisoning Bulletin (US)	Others	recall	Ancient Whole Grains Salad Recalled For Stones; Spring Rolls for Milk	meat and meat products (other than poultry)	bakery product	Canada	non_EU	United States of America	non_EU	stones	foreign bodies	stones: dang pork spring roll	food	2020	03	2020-03	Q1	2020-Q1	-98.307757230000007	61.36206827	-112.46167057	45.67955203	-70.73862780177359	63.04195427687837	-93.08525774465562	42.78893818727482	stones or soil	other foreign body
216949	216949	2020-03-26	RASFF Portal	Official	information for follow-up	foreign bodies (plastic splinters) in vegetable spring rolls from Denmark	fruits and vegetables	bakery product	Denmark	EU	Germany	EU	foreign body	foreign bodies	foreign body: vegetable spring rolls	food	2020	03	2020-03	Q1	2020-Q1	10.02799418	55.98126391	10.38577693	51.10697903	8.913803638218313	55.16421934467642	8.153520451876423	49.65093687332509	plastic	plastic
216952	216952	2020-03-26	RASFF Portal	Official	alert	glass particles (splinters) in various spices in glass jars from the Netherlands	herbs and spices	spice glass jar	Netherlands	EU	Netherlands	EU	glass particles	foreign bodies	glass particles: various spices in glass jars	food	2020	03	2020-03	Q1	2020-Q1	5.2814735	52.10080804	5.2814735	52.10080804	7.176558884670637	53.21930510600248	5.3940530164879945	52.30638778479841	glass	glass
216746	216746	2020-03-23	RASFF Portal	Official	alert	metal fragments in gluten-free vegetable lasagne from the United States	fruits and vegetables	bakery product	United States of America	non_EU	United Kingdom	EU	metal fragments	foreign bodies	metal fragments: glutenfree vegetable lasagne	food	2020	03	2020-03	Q1	2020-Q1	-112.46167057	45.67955203	-2.86563362	54.12387156	-116.26447761168156	46.31870358350645	-3.8792859976671537	58.34654080610678	metal	metal
216676	216676	2020-03-23	Food Safety Authority (Ireland)	Official	recall	CO OP Recalls a Batch of Frozen Hash Browns due to Presence of Pieces of White Plastic	prepared dishes and snacks	hash brown pack size	United Kingdom	EU	Ireland	EU	white plastic	foreign bodies	white plastic: co op frozen hash browns; pack size: 700g.	food	2020	03	2020-03	Q1	2020-Q1	-2.86563362	54.12387156	-8.13793167	53.1754426	-4.510558012514576	57.09460237916931	-7.250508998971705	53.899170595543254	plastic	plastic
216683	216683	2020-03-23	RASFF Portal	Official	alert	plastic fragments in frozen hash brown from the United Kingdom	prepared dishes and snacks	hash brown	United Kingdom	EU	United Kingdom	EU	plastic fragments	foreign bodies	plastic fragments: frozen hash brown	food	2020	03	2020-03	Q1	2020-Q1	-2.86563362	54.12387156	-2.86563362	54.12387156	-5.456479325476181	56.159232954781615	-4.9252349421339465	50.5721698238511	plastic	plastic
216601	216601	2020-03-20	BVL Recalls (Germany)	Official	recall	"Warning for the product ""oederaner country-liver sausage"" in the glass for in the product ""oederaner country-liver sausage"" in a glass foreign body (glass parts found)."	meat and meat products (other than poultry)	offals	Germany	EU	Germany	EU	glass foreign body	foreign bodies	"glass foreign body: oederaner country-liver sausage"" in the glass"	food	2020	03	2020-03	Q1	2020-Q1	10.38577693	51.10697903	10.38577693	51.10697903	11.852005466231738	52.801229570880764	6.824816866104893	51.51081613128332	glass	glass
216602	216602	2020-03-20	Il Fatto Alimentare (Italy)	Others	lookout	Listeria in fillets of herring; and foreign body in the bread organic; gluten free and Withdrawn from the european market 68 products	fish and fish products	fillet	Italy	EU	Italy	EU	foreign body	foreign bodies	foreign body: fillets	food	2020	03	2020-03	Q1	2020-Q1	12.07000946	42.79663568	12.07000946	42.79663568	15.168220692992437	37.301596196113216	11.98467018137309	45.96943541928343	other foreign body	other foreign body
216642	216642	2020-03-20	FSA Alerts & Recalls (UK)	Official	recall	Coop recalls Frozen Hash Browns because they may contain pieces of white plastic	prepared dishes and snacks	frozen hash browns	United Kingdom	EU	United Kingdom	EU	plastic	foreign bodies	plastic: coop frozen hash browns	food	2020	03	2020-03	Q1	2020-Q1	-2.86563362	54.12387156	-2.86563362	54.12387156	-4.800581955263063	56.54638721784916	-2.8022965643176443	54.68034968706305	plastic	plastic
216562	216562	2020-03-19	RASFF Portal	Official	information for attention	glass fragments in non-alcoholic drinks from the United Kingdom	non-alcoholic beverages	drink	United Kingdom	EU	United Kingdom	EU	glass fragments	foreign bodies	glass fragments: nonalcoholic drinks	food	2020	03	2020-03	Q1	2020-Q1	-2.86563362	54.12387156	-2.86563362	54.12387156	-3.2558123786183226	57.50708493353035	-4.5291453726223105	58.50666747456591	glass	glass
216571	216571	2020-02-07	Food Authority (Finland)	Official	information for attention	Cucumbers preserved in the may be pieces of glass	fruits and vegetables	cucumber	Finland	EU	Finland	EU	glass	foreign bodies	glass: cucumbers	food	2020	02	2020-02	Q1	2020-Q1	26.27467024	64.49884844	26.27467024	64.49884844	22.43088516619503	60.01413449344749	24.294223723440474	60.03740055197803	glass	glass
216532	216532	2020-03-18	RASFF Portal	Official	alert	metal strips in canned tuna from Spain	fish and fish products	tuna	Spain	EU	France	EU	metal strips	foreign bodies	metal strips: canned tuna	food	2020	03	2020-03	Q1	2020-Q1	-3.64754874	40.24448626	2.53618475	46.18700581	-1.9544032022450164	41.008031063521976	-1.4020839950694053	46.988393914484895	metal	metal
216524	216524	2020-03-18	Food Poisoning Bulletin (US)	Others	recall	Cornstarch Recalled in Canada For Foreign Material Metal Pieces	fruits and vegetables	corn	Canada	non_EU	United States of America	non_EU	foreign material metal pieces	foreign bodies	foreign material metal pieces: foods corn starch	food	2020	03	2020-03	Q1	2020-Q1	-98.307757230000007	61.36206827	-112.46167057	45.67955203	-101.4899633602617	78.34824064538708	-80.66931199182389	25.293959534986378	metal	metal
215850	215850	2020-03-17	RASFF Portal	Official	alert	plastic fragments in Branston pickle products from the United Kingdom	fruits and vegetables	pickle	United Kingdom	EU	United Kingdom	EU	plastic fragments	foreign bodies	plastic fragments: branston pickle products	food	2020	03	2020-03	Q1	2020-Q1	-2.86563362	54.12387156	-2.86563362	54.12387156	0.3633309247583778	52.17854364601982	-0.29875498072592244	52.946133239355554	plastic	plastic
215799	215799	2020-03-11	CDPH Recalls (Canada)	Official	recall	Notification - Grain Processing Corporation (GPC) brand Pure-Dent B700 Corn Starch recalled due to pieces of metal	fruits and vegetables	corn	Canada	non_EU	Canada	non_EU	extraneous material	foreign bodies	extraneous material: puredent b700 corn starch	food	2020	03	2020-03	Q1	2020-Q1	-98.307757230000007	61.36206827	-98.307757230000007	61.36206827	-122.97958306942206	73.25766601420064	-106.08561279188854	61.95707231367954	metal	metal
215836	215836	2020-03-11	CDPH Recalls (Canada)	Official	recall	Notification - Mosto Foods brand Corn (Starch) recalled due to pieces of metal	fruits and vegetables	corn	Canada	non_EU	Canada	non_EU	extraneous material	foreign bodies	extraneous material: corn (starch)	food	2020	03	2020-03	Q1	2020-Q1	-98.307757230000007	61.36206827	-98.307757230000007	61.36206827	-75.9787495852201	47.006481612867134	-64.24701671545385	53.83607409685625	metal	metal
215739	215739	2020-03-13	CDPH Recalls (Canada)	Official	recall	Notification - Thrifty Kitchens brand Ancient Whole Grains Salad recalled due to presence of stones	prepared dishes and snacks	grain salad	Canada	non_EU	Canada	non_EU	extraneous material	foreign bodies	extraneous material: ancient whole grains salad	food	2020	03	2020-03	Q1	2020-Q1	-98.307757230000007	61.36206827	-98.307757230000007	61.36206827	-73.49360411049207	48.49960882281593	-104.98331600467696	51.749725119862795	stones or soil	other foreign body
215756	215756	2020-03-13	RASFF Portal	Official	alert	plastic fragments in chilled marinated mushrooms spread from Belgium	fruits and vegetables	mushroom	Belgium	EU	Belgium	EU	plastic fragments	foreign bodies	plastic fragments: chilled marinated mushrooms spread	food	2020	03	2020-03	Q1	2020-Q1	4.64064572	50.63981435	4.64064572	50.63981435	5.968818958840229	50.33938805381988	4.754803149591696	50.47436273659175	plastic	plastic
215785	215785	2020-03-12	Trading Standards (UK)	Official	recall	various Branston Pickle products	fruits and vegetables	pickle	United Kingdom	EU	United Kingdom	EU	plastic	foreign bodies	plastic: branston pickle products	food	2020	03	2020-03	Q1	2020-Q1	-2.86563362	54.12387156	-2.86563362	54.12387156	-0.8747780801251626	52.33166262364388	-2.895324049886632	55.20900247706129	plastic	plastic
215675	15675	2020-03-11	FSA Alerts & Recalls (UK)	Official	recall	Mizkan Euro recalls Branston Pickle products because they may contain pieces of plastic	fruits and vegetables	pickle	United Kingdom	EU	United Kingdom	EU	plastic	foreign bodies	plastic: branston original pickle	food	2020	03	2020-03	Q1	2020-Q1	-2.86563362	54.12387156	-2.86563362	54.12387156	-0.999673769963346	52.79485340837068	-6.2465711340114085	56.48079211050395	plastic	plastic
215676	15675	2020-03-11	FSA Alerts & Recalls (UK)	Official	recall	Mizkan Euro recalls Branston Pickle products because they may contain pieces of plastic	fruits and vegetables	pickle	United Kingdom	EU	United Kingdom	EU	plastic	foreign bodies	plastic: branston original sweet pickle	food	2020	03	2020-03	Q1	2020-Q1	-2.86563362	54.12387156	-2.86563362	54.12387156	0.11231115619767618	51.75938730007044	-3.732107686570073	52.47151970442765	plastic	plastic
215677	15675	2020-03-11	FSA Alerts & Recalls (UK)	Official	recall	Mizkan Euro recalls Branston Pickle products because they may contain pieces of plastic	fruits and vegetables	pickle	United Kingdom	EU	United Kingdom	EU	plastic	foreign bodies	plastic: branston squeezy smooth pickle	food	2020	03	2020-03	Q1	2020-Q1	-2.86563362	54.12387156	-2.86563362	54.12387156	-2.182720505368316	53.35217881488432	-3.7969297964952724	53.092530475123965	plastic	plastic
215678	15675	2020-03-11	FSA Alerts & Recalls (UK)	Official	recall	Mizkan Euro recalls Branston Pickle products because they may contain pieces of plastic	fruits and vegetables	pickle	United Kingdom	EU	United Kingdom	EU	plastic	foreign bodies	plastic: branston smooth pickle	food	2020	03	2020-03	Q1	2020-Q1	-2.86563362	54.12387156	-2.86563362	54.12387156	-0.6528613725250487	53.71688458949153	-6.391252131546482	55.720281635618036	plastic	plastic
215719	15719	2020-03-06	CDPH Recalls (Canada)	Official	recall	Notification - PC Organics brand milk recalled due to non-harmful extraneous material (metal dust)	milk and milk products	milk	Canada	non_EU	Canada	non_EU	extraneous material	foreign bodies	extraneous material: fresh partly skimmed milk; 2% m.f.	food	2020	03	2020-03	Q1	2020-Q1	-98.307757230000007	61.36206827	-98.307757230000007	61.36206827	-90.53406816623699	50.12577340522428	-118.56230919990558	63.178315321782925	metal	metal
215720	15719	2020-03-06	CDPH Recalls (Canada)	Official	recall	Notification - PC Organics brand milk recalled due to non-harmful extraneous material (metal dust)	milk and milk products	milk	Canada	non_EU	Canada	non_EU	extraneous material	foreign bodies	extraneous material: fresh partly skimmed milk; 1% m.f.	food	2020	03	2020-03	Q1	2020-Q1	-98.307757230000007	61.36206827	-98.307757230000007	61.36206827	-132.1902694914277	67.47849821886118	-64.21444436247529	51.68753099627741	metal	metal
215623	215623	2020-03-09	RASFF Portal	Official	alert	foreign body (black; spiky foreign body) in gluten free bread from Germany	cereals and bakery products	bakery product	Germany	EU	Germany	EU	foreign body	foreign bodies	foreign body: gluten free bread	food	2020	03	2020-03	Q1	2020-Q1	10.38577693	51.10697903	10.38577693	51.10697903	12.454469655052401	50.62726472726031	12.796572795509881	48.19246047646138	other foreign body	other foreign body
215630	215630	2020-03-07	NVWA Recalls (Netherlands)	Official	recall	"
Important safety warning bag with decoration FIR tree (indoor allergens)"	cereals and bakery products	wheat	Netherlands	EU	Netherlands	EU	the bag	foreign bodies	the bag: wheat	food	2020	03	2020-03	Q1	2020-Q1	5.2814735	52.10080804	5.2814735	52.10080804	5.717096470252571	50.91904518084146	6.905729121849976	52.722552286165126	other foreign body	other foreign body
215593	15593	2020-03-06	CDPH Recalls (Canada)	Official	recall	Notification - Neilson brand; Neilson Trutaste brand and Nutrilait brand milk recalled due to non-harmful extraneous material (metal dust)	milk and milk products	milk	Canada	non_EU	Canada	non_EU	extraneous material	foreign bodies	extraneous material: partly skimmed milk; 1% m.f.; microfiltered	food	2020	03	2020-03	Q1	2020-Q1	-98.307757230000007	61.36206827	-98.307757230000007	61.36206827	-88.63694438751527	52.661330248656924	-109.39003586658585	50.742799665418495	metal	metal
215594	15593	2020-03-06	CDPH Recalls (Canada)	Official	recall	Notification - Neilson brand; Neilson Trutaste brand and Nutrilait brand milk recalled due to non-harmful extraneous material (metal dust)	milk and milk products	milk	Canada	non_EU	Canada	non_EU	extraneous material	foreign bodies	extraneous material: partly skimmed organic milk; 2% m.f.	food	2020	03	2020-03	Q1	2020-Q1	-98.307757230000007	61.36206827	-98.307757230000007	61.36206827	-138.39081657692927	69.09685014990401	-87.79754928846836	71.57626263889745	metal	metal
215595	15593	2020-03-06	CDPH Recalls (Canada)	Official	recall	Notification - Neilson brand; Neilson Trutaste brand and Nutrilait brand milk recalled due to non-harmful extraneous material (metal dust)	milk and milk products	milk	Canada	non_EU	Canada	non_EU	extraneous material	foreign bodies	extraneous material: partly skimmed milk; 2% m.f.; microfiltered	food	2020	03	2020-03	Q1	2020-Q1	-98.307757230000007	61.36206827	-98.307757230000007	61.36206827	-118.91797940136053	77.21264157728521	-97.58685179638681	63.03366594731384	metal	metal
