Country,Indicator,Measure Names,Year,Measure Values
Burundi,Voice and Accountability,Standard Error,2018,0.137280837
Burundi,Voice and Accountability,Percentile Rank,2018,5.418719292
Burundi,Voice and Accountability,Governance (-2.5 to +2.5),2018,-1.651565313
Burundi,Voice and Accountability,Number of Sources,2018,10
Cambodia,Voice and Accountability,Standard Error,2018,0.134557068
Cambodia,Voice and Accountability,Percentile Rank,2018,13.79310322
Cambodia,Voice and Accountability,Governance (-2.5 to +2.5),2018,-1.221331358
Cambodia,Voice and Accountability,Number of Sources,2018,11
Cameroon,Voice and Accountability,Standard Error,2018,0.124224335
Cameroon,Voice and Accountability,Percentile Rank,2018,18.22660065
Cameroon,Voice and Accountability,Governance (-2.5 to +2.5),2018,-1.104003429
Cameroon,Voice and Accountability,Number of Sources,2018,15
Canada,Voice and Accountability,Standard Error,2018,0.145374045
Canada,Voice and Accountability,Percentile Rank,2018,96.05911255
Canada,Voice and Accountability,Governance (-2.5 to +2.5),2018,1.520856738
Canada,Voice and Accountability,Number of Sources,2018,11
Cape Verde,Voice and Accountability,Standard Error,2018,0.15659295
Cape Verde,Voice and Accountability,Percentile Rank,2018,79.80295563
Cape Verde,Voice and Accountability,Governance (-2.5 to +2.5),2018,0.997743845
Cape Verde,Voice and Accountability,Number of Sources,2018,9
Cayman Islands,Voice and Accountability,Standard Error,2018,0.249347165
Cayman Islands,Voice and Accountability,Percentile Rank,2018,64.03940582
Cayman Islands,Voice and Accountability,Governance (-2.5 to +2.5),2018,0.491972774
Cayman Islands,Voice and Accountability,Number of Sources,2018,1
Central African Republic,Voice and Accountability,Standard Error,2018,0.137421817
Central African Republic,Voice and Accountability,Percentile Rank,2018,14.77832508
Central African Republic,Voice and Accountability,Governance (-2.5 to +2.5),2018,-1.188596606
Central African Republic,Voice and Accountability,Number of Sources,2018,10
Chad,Voice and Accountability,Standard Error,2018,0.135645136
Chad,Voice and Accountability,Percentile Rank,2018,8.374383926
Chad,Voice and Accountability,Governance (-2.5 to +2.5),2018,-1.454470158
Chad,Voice and Accountability,Number of Sources,2018,12
Chile,Voice and Accountability,Standard Error,2018,0.129330337
Chile,Voice and Accountability,Percentile Rank,2018,82.26600647
Chile,Voice and Accountability,Governance (-2.5 to +2.5),2018,1.054925084
Chile,Voice and Accountability,Number of Sources,2018,14
China,Voice and Accountability,Standard Error,2018,0.129804969
China,Voice and Accountability,Percentile Rank,2018,8.866994858
China,Voice and Accountability,Governance (-2.5 to +2.5),2018,-1.449377298
China,Voice and Accountability,Number of Sources,2018,12
Colombia,Voice and Accountability,Standard Error,2018,0.128094137
Colombia,Voice and Accountability,Percentile Rank,2018,52.70935822
Colombia,Voice and Accountability,Governance (-2.5 to +2.5),2018,0.191384196
Colombia,Voice and Accountability,Number of Sources,2018,15
Comoros,Voice and Accountability,Standard Error,2018,0.152599469
Comoros,Voice and Accountability,Percentile Rank,2018,33.00492477
Comoros,Voice and Accountability,Governance (-2.5 to +2.5),2018,-0.437342554
Comoros,Voice and Accountability,Number of Sources,2018,8
"Congo, Dem. Rep.",Voice and Accountability,Standard Error,2018,0.134270087
"Congo, Dem. Rep.",Voice and Accountability,Percentile Rank,2018,7.38916254
"Congo, Dem. Rep.",Voice and Accountability,Governance (-2.5 to +2.5),2018,-1.512408376
"Congo, Dem. Rep.",Voice and Accountability,Number of Sources,2018,12
"Congo, Rep.",Voice and Accountability,Standard Error,2018,0.132376805
"Congo, Rep.",Voice and Accountability,Percentile Rank,2018,15.27093601
"Congo, Rep.",Voice and Accountability,Governance (-2.5 to +2.5),2018,-1.181061387
"Congo, Rep.",Voice and Accountability,Number of Sources,2018,11
Cook Islands,Voice and Accountability,Standard Error,2018,
Cook Islands,Voice and Accountability,Percentile Rank,2018,
Cook Islands,Voice and Accountability,Governance (-2.5 to +2.5),2018,
Cook Islands,Voice and Accountability,Number of Sources,2018,
Costa Rica,Voice and Accountability,Standard Error,2018,0.129452452
Costa Rica,Voice and Accountability,Percentile Rank,2018,84.72906494
Costa Rica,Voice and Accountability,Governance (-2.5 to +2.5),2018,1.144658208
Costa Rica,Voice and Accountability,Number of Sources,2018,13
Côte d'Ivoire,Voice and Accountability,Standard Error,2018,0.125584632
Côte d'Ivoire,Voice and Accountability,Percentile Rank,2018,37.93103409
Côte d'Ivoire,Voice and Accountability,Governance (-2.5 to +2.5),2018,-0.216192186
Côte d'Ivoire,Voice and Accountability,Number of Sources,2018,13
Croatia,Voice and Accountability,Standard Error,2018,0.127927631
Croatia,Voice and Accountability,Percentile Rank,2018,64.53202057
Croatia,Voice and Accountability,Governance (-2.5 to +2.5),2018,0.501964271
Croatia,Voice and Accountability,Number of Sources,2018,13
Cuba,Voice and Accountability,Standard Error,2018,0.138520405
Cuba,Voice and Accountability,Percentile Rank,2018,9.852216721
Cuba,Voice and Accountability,Governance (-2.5 to +2.5),2018,-1.444819212
Cuba,Voice and Accountability,Number of Sources,2018,8
Cyprus,Voice and Accountability,Standard Error,2018,0.155245274
Cyprus,Voice and Accountability,Percentile Rank,2018,80.78817749
Cyprus,Voice and Accountability,Governance (-2.5 to +2.5),2018,1.038081408
Cyprus,Voice and Accountability,Number of Sources,2018,9
Czech Republic,Voice and Accountability,Standard Error,2018,0.130970612
Czech Republic,Voice and Accountability,Percentile Rank,2018,78.32512665
Czech Republic,Voice and Accountability,Governance (-2.5 to +2.5),2018,0.930312037
Czech Republic,Voice and Accountability,Number of Sources,2018,12
Denmark,Voice and Accountability,Standard Error,2018,0.145530492
Denmark,Voice and Accountability,Percentile Rank,2018,98.02955627
Denmark,Voice and Accountability,Governance (-2.5 to +2.5),2018,1.611797333
Denmark,Voice and Accountability,Number of Sources,2018,10
Djibouti,Voice and Accountability,Standard Error,2018,0.141632825
Djibouti,Voice and Accountability,Percentile Rank,2018,11.33004952
Djibouti,Voice and Accountability,Governance (-2.5 to +2.5),2018,-1.352053642
Djibouti,Voice and Accountability,Number of Sources,2018,8
Dominica,Voice and Accountability,Standard Error,2018,0.241005853
Dominica,Voice and Accountability,Percentile Rank,2018,74.3842392
Dominica,Voice and Accountability,Governance (-2.5 to +2.5),2018,0.810515463
Dominica,Voice and Accountability,Number of Sources,2018,3
Dominican Republic,Voice and Accountability,Standard Error,2018,0.12821278
Dominican Republic,Voice and Accountability,Percentile Rank,2018,51.23152542
Dominican Republic,Voice and Accountability,Governance (-2.5 to +2.5),2018,0.137432665
Dominican Republic,Voice and Accountability,Number of Sources,2018,14
Ecuador,Voice and Accountability,Standard Error,2018,0.12821278
Ecuador,Voice and Accountability,Percentile Rank,2018,47.29064179
Ecuador,Voice and Accountability,Governance (-2.5 to +2.5),2018,0.026411217
Ecuador,Voice and Accountability,Number of Sources,2018,14
"Egypt, Arab Rep.",Voice and Accountability,Standard Error,2018,0.124224335
"Egypt, Arab Rep.",Voice and Accountability,Percentile Rank,2018,13.30049229
"Egypt, Arab Rep.",Voice and Accountability,Governance (-2.5 to +2.5),2018,-1.284182668
"Egypt, Arab Rep.",Voice and Accountability,Number of Sources,2018,15
El Salvador,Voice and Accountability,Standard Error,2018,0.12821278
El Salvador,Voice and Accountability,Percentile Rank,2018,48.27586365
El Salvador,Voice and Accountability,Governance (-2.5 to +2.5),2018,0.041806377
El Salvador,Voice and Accountability,Number of Sources,2018,14
Equatorial Guinea,Voice and Accountability,Standard Error,2018,0.141604245
Equatorial Guinea,Voice and Accountability,Percentile Rank,2018,2.46305418
Equatorial Guinea,Voice and Accountability,Governance (-2.5 to +2.5),2018,-1.86452353
Equatorial Guinea,Voice and Accountability,Number of Sources,2018,8
Eritrea,Voice and Accountability,Standard Error,2018,0.137561873
Eritrea,Voice and Accountability,Percentile Rank,2018,0.492610842
Eritrea,Voice and Accountability,Governance (-2.5 to +2.5),2018,-2.176343203
Eritrea,Voice and Accountability,Number of Sources,2018,9
Estonia,Voice and Accountability,Standard Error,2018,0.132316172
Estonia,Voice and Accountability,Percentile Rank,2018,89.65517426
Estonia,Voice and Accountability,Governance (-2.5 to +2.5),2018,1.212969542
Estonia,Voice and Accountability,Number of Sources,2018,11
Ethiopia,Voice and Accountability,Standard Error,2018,0.125981331
Ethiopia,Voice and Accountability,Percentile Rank,2018,16.25615692
Ethiopia,Voice and Accountability,Governance (-2.5 to +2.5),2018,-1.158869624
Ethiopia,Voice and Accountability,Number of Sources,2018,13
Fiji,Voice and Accountability,Standard Error,2018,0.168724552
Fiji,Voice and Accountability,Percentile Rank,2018,54.67980194
Fiji,Voice and Accountability,Governance (-2.5 to +2.5),2018,0.216666237
Fiji,Voice and Accountability,Number of Sources,2018,5
Finland,Voice and Accountability,Standard Error,2018,0.145530492
Finland,Voice and Accountability,Percentile Rank,2018,98.52217102
Finland,Voice and Accountability,Governance (-2.5 to +2.5),2018,1.612387061
Finland,Voice and Accountability,Number of Sources,2018,10
France,Voice and Accountability,Standard Error,2018,0.143745899
France,Voice and Accountability,Percentile Rank,2018,88.17733765
France,Voice and Accountability,Governance (-2.5 to +2.5),2018,1.179414749
France,Voice and Accountability,Number of Sources,2018,11
French Guiana,Voice and Accountability,Standard Error,2018,0.249347165
French Guiana,Voice and Accountability,Percentile Rank,2018,91.62561798
French Guiana,Voice and Accountability,Governance (-2.5 to +2.5),2018,1.305925131
French Guiana,Voice and Accountability,Number of Sources,2018,1
Gabon,Voice and Accountability,Standard Error,2018,0.131668895
Gabon,Voice and Accountability,Percentile Rank,2018,22.1674881
Gabon,Voice and Accountability,Governance (-2.5 to +2.5),2018,-0.947749376
Gabon,Voice and Accountability,Number of Sources,2018,12
"Gambia, The",Voice and Accountability,Standard Error,2018,0.135091096
"Gambia, The",Voice and Accountability,Percentile Rank,2018,38.42364502
"Gambia, The",Voice and Accountability,Governance (-2.5 to +2.5),2018,-0.197196752
"Gambia, The",Voice and Accountability,Number of Sources,2018,11
Georgia,Voice and Accountability,Standard Error,2018,0.131263509
Georgia,Voice and Accountability,Percentile Rank,2018,56.15763474
Georgia,Voice and Accountability,Governance (-2.5 to +2.5),2018,0.246690333
Georgia,Voice and Accountability,Number of Sources,2018,12
Germany,Voice and Accountability,Standard Error,2018,0.143745899
Germany,Voice and Accountability,Percentile Rank,2018,95.07389069
Germany,Voice and Accountability,Governance (-2.5 to +2.5),2018,1.422361732
Germany,Voice and Accountability,Number of Sources,2018,11
Ghana,Voice and Accountability,Standard Error,2018,0.124224335
Ghana,Voice and Accountability,Percentile Rank,2018,67.98029327
Ghana,Voice and Accountability,Governance (-2.5 to +2.5),2018,0.57870388
Ghana,Voice and Accountability,Number of Sources,2018,15
Greece,Voice and Accountability,Standard Error,2018,0.145530492
Greece,Voice and Accountability,Percentile Rank,2018,75.36946106
Greece,Voice and Accountability,Governance (-2.5 to +2.5),2018,0.857336581
Greece,Voice and Accountability,Number of Sources,2018,10
Greenland,Voice and Accountability,Standard Error,2018,0.249347165
Greenland,Voice and Accountability,Percentile Rank,2018,91.62561798
Greenland,Voice and Accountability,Governance (-2.5 to +2.5),2018,1.305925131
Greenland,Voice and Accountability,Number of Sources,2018,1
Grenada,Voice and Accountability,Standard Error,2018,0.233278289
Grenada,Voice and Accountability,Percentile Rank,2018,65.51724243
Grenada,Voice and Accountability,Governance (-2.5 to +2.5),2018,0.534432948
Grenada,Voice and Accountability,Number of Sources,2018,4
Guam,Voice and Accountability,Standard Error,2018,
Guam,Voice and Accountability,Percentile Rank,2018,
Guam,Voice and Accountability,Governance (-2.5 to +2.5),2018,
Guam,Voice and Accountability,Number of Sources,2018,
Guatemala,Voice and Accountability,Standard Error,2018,0.12821278
Guatemala,Voice and Accountability,Percentile Rank,2018,35.46797943
Guatemala,Voice and Accountability,Governance (-2.5 to +2.5),2018,-0.342433751
Guatemala,Voice and Accountability,Number of Sources,2018,14
Guinea,Voice and Accountability,Standard Error,2018,0.131422415
Guinea,Voice and Accountability,Percentile Rank,2018,26.10837364
Guinea,Voice and Accountability,Governance (-2.5 to +2.5),2018,-0.753674269
Guinea,Voice and Accountability,Number of Sources,2018,13
Guinea-Bissau,Voice and Accountability,Standard Error,2018,0.136128306
Guinea-Bissau,Voice and Accountability,Percentile Rank,2018,29.06403923
Guinea-Bissau,Voice and Accountability,Governance (-2.5 to +2.5),2018,-0.666339874
Guinea-Bissau,Voice and Accountability,Number of Sources,2018,9
Guyana,Voice and Accountability,Standard Error,2018,0.148994699
Guyana,Voice and Accountability,Percentile Rank,2018,56.65024567
Guyana,Voice and Accountability,Governance (-2.5 to +2.5),2018,0.257583529
Guyana,Voice and Accountability,Number of Sources,2018,8
Haiti,Voice and Accountability,Standard Error,2018,0.137957677
Haiti,Voice and Accountability,Percentile Rank,2018,26.60098457
Haiti,Voice and Accountability,Governance (-2.5 to +2.5),2018,-0.745483339
Haiti,Voice and Accountability,Number of Sources,2018,11
Honduras,Voice and Accountability,Standard Error,2018,0.12821278
Honduras,Voice and Accountability,Percentile Rank,2018,31.52709389
Honduras,Voice and Accountability,Governance (-2.5 to +2.5),2018,-0.508318186
Honduras,Voice and Accountability,Number of Sources,2018,14
"Hong Kong SAR, China",Voice and Accountability,Standard Error,2018,0.153604895
"Hong Kong SAR, China",Voice and Accountability,Percentile Rank,2018,62.06896591
"Hong Kong SAR, China",Voice and Accountability,Governance (-2.5 to +2.5),2018,0.468593001
"Hong Kong SAR, China",Voice and Accountability,Number of Sources,2018,9
Hungary,Voice and Accountability,Standard Error,2018,0.130970612
Hungary,Voice and Accountability,Percentile Rank,2018,58.62068939
Hungary,Voice and Accountability,Governance (-2.5 to +2.5),2018,0.318342388
Hungary,Voice and Accountability,Number of Sources,2018,12
Iceland,Voice and Accountability,Standard Error,2018,0.155245274
Iceland,Voice and Accountability,Percentile Rank,2018,94.58128357
Iceland,Voice and Accountability,Governance (-2.5 to +2.5),2018,1.412682295
Iceland,Voice and Accountability,Number of Sources,2018,9
India,Voice and Accountability,Standard Error,2018,0.129687265
India,Voice and Accountability,Percentile Rank,2018,60.09852219
India,Voice and Accountability,Governance (-2.5 to +2.5),2018,0.378832668
India,Voice and Accountability,Number of Sources,2018,13
Indonesia,Voice and Accountability,Standard Error,2018,0.129687265
Indonesia,Voice and Accountability,Percentile Rank,2018,52.21674728
Indonesia,Voice and Accountability,Governance (-2.5 to +2.5),2018,0.179736689
Indonesia,Voice and Accountability,Number of Sources,2018,13
"Iran, Islamic Rep.",Voice and Accountability,Standard Error,2018,0.13112013
"Iran, Islamic Rep.",Voice and Accountability,Percentile Rank,2018,12.80788136
"Iran, Islamic Rep.",Voice and Accountability,Governance (-2.5 to +2.5),2018,-1.317931652
"Iran, Islamic Rep.",Voice and Accountability,Number of Sources,2018,11
Iraq,Voice and Accountability,Standard Error,2018,0.136840537
Iraq,Voice and Accountability,Percentile Rank,2018,21.18226624
Iraq,Voice and Accountability,Governance (-2.5 to +2.5),2018,-0.987156034
Iraq,Voice and Accountability,Number of Sources,2018,10
Ireland,Voice and Accountability,Standard Error,2018,0.155245274
Ireland,Voice and Accountability,Percentile Rank,2018,92.1182251
Ireland,Voice and Accountability,Governance (-2.5 to +2.5),2018,1.318750381
Ireland,Voice and Accountability,Number of Sources,2018,9
Israel,Voice and Accountability,Standard Error,2018,0.155245274
Israel,Voice and Accountability,Percentile Rank,2018,69.950737
Israel,Voice and Accountability,Governance (-2.5 to +2.5),2018,0.65119046
Israel,Voice and Accountability,Number of Sources,2018,9
Italy,Voice and Accountability,Standard Error,2018,0.143745899
Italy,Voice and Accountability,Percentile Rank,2018,81.77339935
Italy,Voice and Accountability,Governance (-2.5 to +2.5),2018,1.045517802
Italy,Voice and Accountability,Number of Sources,2018,11
Jamaica,Voice and Accountability,Standard Error,2018,0.132454023
Jamaica,Voice and Accountability,Percentile Rank,2018,68.96551514
Jamaica,Voice and Accountability,Governance (-2.5 to +2.5),2018,0.616998672
Jamaica,Voice and Accountability,Number of Sources,2018,10
Japan,Voice and Accountability,Standard Error,2018,0.145530492
Japan,Voice and Accountability,Percentile Rank,2018,80.29556274
Japan,Voice and Accountability,Governance (-2.5 to +2.5),2018,1.022637606
Japan,Voice and Accountability,Number of Sources,2018,10
"Jersey, Channel Islands",Voice and Accountability,Standard Error,2018,0.249347165
"Jersey, Channel Islands",Voice and Accountability,Percentile Rank,2018,91.62561798
"Jersey, Channel Islands",Voice and Accountability,Governance (-2.5 to +2.5),2018,1.305925131
"Jersey, Channel Islands",Voice and Accountability,Number of Sources,2018,1
Jordan,Voice and Accountability,Standard Error,2018,0.129804969
Jordan,Voice and Accountability,Percentile Rank,2018,28.07881737
Jordan,Voice and Accountability,Governance (-2.5 to +2.5),2018,-0.701732814
Jordan,Voice and Accountability,Number of Sources,2018,12
Kazakhstan,Voice and Accountability,Standard Error,2018,0.127927631
Kazakhstan,Voice and Accountability,Percentile Rank,2018,15.76354694
Kazakhstan,Voice and Accountability,Governance (-2.5 to +2.5),2018,-1.171870589
Kazakhstan,Voice and Accountability,Number of Sources,2018,13
Kenya,Voice and Accountability,Standard Error,2018,0.124224335
Kenya,Voice and Accountability,Percentile Rank,2018,34.9753685
Kenya,Voice and Accountability,Governance (-2.5 to +2.5),2018,-0.360654324
Kenya,Voice and Accountability,Number of Sources,2018,15
Kiribati,Voice and Accountability,Standard Error,2018,0.29629907
Kiribati,Voice and Accountability,Percentile Rank,2018,87.68473053
Kiribati,Voice and Accountability,Governance (-2.5 to +2.5),2018,1.146016002
Kiribati,Voice and Accountability,Number of Sources,2018,1
"Korea, Dem. Rep.",Voice and Accountability,Standard Error,2018,0.142679676
"Korea, Dem. Rep.",Voice and Accountability,Percentile Rank,2018,0
"Korea, Dem. Rep.",Voice and Accountability,Governance (-2.5 to +2.5),2018,-2.202045202
"Korea, Dem. Rep.",Voice and Accountability,Number of Sources,2018,7
"Korea, Rep.",Voice and Accountability,Standard Error,2018,0.130970612
"Korea, Rep.",Voice and Accountability,Percentile Rank,2018,73.89162445
"Korea, Rep.",Voice and Accountability,Governance (-2.5 to +2.5),2018,0.796059787
"Korea, Rep.",Voice and Accountability,Number of Sources,2018,12
Kosovo,Voice and Accountability,Standard Error,2018,0.146233231
Kosovo,Voice and Accountability,Percentile Rank,2018,39.90147781
Kosovo,Voice and Accountability,Governance (-2.5 to +2.5),2018,-0.120081499
Kosovo,Voice and Accountability,Number of Sources,2018,7
Kuwait,Voice and Accountability,Standard Error,2018,0.139790788
Kuwait,Voice and Accountability,Percentile Rank,2018,30.54187203
Kuwait,Voice and Accountability,Governance (-2.5 to +2.5),2018,-0.589186668
Kuwait,Voice and Accountability,Number of Sources,2018,8
Kyrgyz Republic,Voice and Accountability,Standard Error,2018,0.134786382
Kyrgyz Republic,Voice and Accountability,Percentile Rank,2018,33.99014664
Kyrgyz Republic,Voice and Accountability,Governance (-2.5 to +2.5),2018,-0.374236494
Kyrgyz Republic,Voice and Accountability,Number of Sources,2018,11
Lao PDR,Voice and Accountability,Standard Error,2018,0.144008398
Lao PDR,Voice and Accountability,Percentile Rank,2018,4.433497429
Lao PDR,Voice and Accountability,Governance (-2.5 to +2.5),2018,-1.739436388
Lao PDR,Voice and Accountability,Number of Sources,2018,8
Latvia,Voice and Accountability,Standard Error,2018,0.139490589
Latvia,Voice and Accountability,Percentile Rank,2018,74.87684631
Latvia,Voice and Accountability,Governance (-2.5 to +2.5),2018,0.813324571
Latvia,Voice and Accountability,Number of Sources,2018,10
Lebanon,Voice and Accountability,Standard Error,2018,0.129810378
Lebanon,Voice and Accountability,Percentile Rank,2018,32.01970291
Lebanon,Voice and Accountability,Governance (-2.5 to +2.5),2018,-0.499099761
Lebanon,Voice and Accountability,Number of Sources,2018,12
Lesotho,Voice and Accountability,Standard Error,2018,0.141946271
Lesotho,Voice and Accountability,Percentile Rank,2018,50.73891449
Lesotho,Voice and Accountability,Governance (-2.5 to +2.5),2018,0.08439292
Lesotho,Voice and Accountability,Number of Sources,2018,10
Liberia,Voice and Accountability,Standard Error,2018,0.127197713
